Timestamp Report
================

Formato: [Tempo (mm:ss.sss)] - [Unix Time] - [Offset ms] - [Azione]
Unix Time: millisecondi dal 1 gennaio 1970
Offset: millisecondi dall'inizio acquisizione

00:00.000 - 1748523837959 - 0ms - INIZIO_ACQUISIZIONE
00:51.654 - 1748523889613 - 51654ms - INIZIO_CAMMINATA
01:25.164 - 1748523923123 - 85164ms - FINE_CAMMINATA
02:04.658 - 1748523962617 - 124658ms - PASSAGGIO
02:16.012 - 1748523973971 - 136012ms - PASSAGGIO
02:22.099 - 1748523980058 - 142099ms - PASSAGGIO
02:29.319 - 1748523987278 - 149319ms - PASSAGGIO
02:36.157 - 1748523994116 - 156157ms - PASSAGGIO
02:42.544 - 1748524000503 - 162544ms - PASSAGGIO
02:48.602 - 1748524006561 - 168602ms - PASSAGGIO
03:03.496 - 1748524021455 - 183496ms - PASSAGGIO
03:09.697 - 1748524027656 - 189697ms - PASSAGGIO
03:15.788 - 1748524033747 - 195788ms - PASSAGGIO
04:24.470 - 1748524102429 - 264470ms - TIRO
04:35.012 - 1748524112971 - 275012ms - TIRO
04:47.961 - 1748524125920 - 287961ms - TIRO
04:54.316 - 1748524132275 - 294316ms - TIRO
05:02.520 - 1748524140479 - 302520ms - TIRO
05:11.876 - 1748524149835 - 311876ms - TIRO
05:19.735 - 1748524157694 - 319735ms - TIRO
05:26.421 - 1748524164380 - 326421ms - INIZIO_CORSA
06:07.178 - 1748524205137 - 367178ms - FINE_CORSA
06:16.301 - 1748524214260 - 376301ms - FINE_ACQUISIZIONE

--- Fine Report ---
