Timestamp Report
================

Formato: [Tempo (mm:ss.sss)] - [Unix Time] - [Offset ms] - [Azione]
Unix Time: millisecondi dal 1 gennaio 1970
Offset: millisecondi dall'inizio acquisizione

00:00.000 - 1748521214624 - 0ms - INIZIO_ACQUISIZIONE
01:10.555 - 1748521285179 - 70555ms - INIZIO_CAMMINATA
02:24.102 - 1748521358726 - 144102ms - FINE_CAMMINATA
02:57.823 - 1748521392447 - 177823ms - PASSAGGIO
03:08.880 - 1748521403504 - 188880ms - PASSAGGIO
03:16.745 - 1748521411369 - 196745ms - PASSAGGIO
03:21.694 - 1748521416318 - 201694ms - PASSAGGIO
03:31.376 - 1748521426000 - 211376ms - PASSAGGIO
03:36.264 - 1748521430888 - 216264ms - PASSAGGIO
03:41.783 - 1748521436407 - 221783ms - PASSAGGIO
03:46.938 - 1748521441562 - 226938ms - PASSAGGIO
03:52.325 - 1748521446949 - 232325ms - PASSAGGIO
03:59.629 - 1748521454253 - 239629ms - PASSAGGIO
04:04.634 - 1748521459258 - 244634ms - PASSAGGIO
04:09.337 - 1748521463961 - 249337ms - PASSAGGIO
04:16.307 - 1748521470931 - 256307ms - PASSAGGIO
04:32.026 - 1748521486650 - 272026ms - PASSAGGIO
04:39.929 - 1748521494553 - 279929ms - PASSAGGIO
04:45.838 - 1748521500462 - 285838ms - PASSAGGIO
05:04.932 - 1748521519556 - 304932ms - TIRO
05:18.548 - 1748521533172 - 318548ms - TIRO
05:29.930 - 1748521544554 - 329930ms - TIRO
05:37.001 - 1748521551625 - 337001ms - TIRO
05:46.425 - 1748521561049 - 346425ms - TIRO
05:55.613 - 1748521570237 - 355613ms - TIRO
06:14.188 - 1748521588812 - 374188ms - TIRO
06:23.420 - 1748521598044 - 383420ms - TIRO
06:32.583 - 1748521607207 - 392583ms - TIRO
06:42.834 - 1748521617458 - 402834ms - TIRO
06:59.361 - 1748521633985 - 419361ms - TIRO
07:08.517 - 1748521643141 - 428517ms - TIRO
07:17.506 - 1748521652130 - 437506ms - TIRO
07:25.344 - 1748521659968 - 445344ms - TIRO
07:33.600 - 1748521668224 - 453600ms - TIRO
08:16.313 - 1748521710937 - 496313ms - INIZIO_CORSA
08:57.574 - 1748521752198 - 537574ms - FINE_CORSA
09:21.366 - 1748521775990 - 561366ms - INIZIO_CORSA
09:52.650 - 1748521807274 - 592650ms - FINE_CORSA
09:57.153 - 1748521811777 - 597153ms - FINE_ACQUISIZIONE

--- Fine Report ---
